native_exponential,native_uniform_bias,eta_45_normal,eta_exponential5,eta_70_normal,native_uniform,native_exponential_bias,eta_uniform5,native_normal
Outlying-US(Guam-USVI-etc),Scotland,38,34,65,Holand-Netherlands,Cuba,48,USA
Portugal,Italy,17,1,66,Columbia,Holand-Netherlands,61,USA
Cambodia,Guatemala,70,24,65,Taiwan,India,100,USA
Ireland,Thailand,57,22,67,Cuba,United-States,100,Puerto-Rico
India,Jamaica,43,1,75,Portugal,Nicaragua,6,Italy
Guatemala,Ecuador,46,16,77,Iran,Hungary,97,USA
Jamaica,India,47,17,79,South,Poland,100,USA
Yugoslavia,Holand-Netherlands,37,1,72,Canada,Scotland,84,El-Salvador
Scotland,Italy,48,12,71,Japan,Philippines,99,Mexico
Ireland,Guatemala,46,30,79,Taiwan,Scotland,33,Ecuador
South,Ireland,56,88,71,Holand-Netherlands,Iran,34,USA
Germany,Scotland,19,32,76,El-Salvador,Cuba,100,Ireland
South,El-Salvador,26,20,59,Laos,Ecuador,1,USA
Jamaica,Poland,37,8,69,Philippines,Honduras,51,Peru
Yugoslavia,Iran,38,6,75,Hong,Italy,100,USA
Honduras,Germany,51,19,68,Germany,Philippines,98,USA
Ireland,Trinadad&Tobago,37,28,82,Ireland,Holand-Netherlands,100,USA
England,Yugoslavia,60,39,64,Honduras,Hungary,1,USA
Holand-Netherlands,Outlying-US(Guam-USVI-etc),34,1,65,Germany,Ecuador,1,USA
Jamaica,Poland,61,30,75,Portugal,Hungary,22,Nicaragua
Portugal,Taiwan,42,46,65,Italy,Thailand,80,USA
Guatemala,United-States,5,8,72,Nicaragua,Canada,23,USA
South,Poland,53,4,59,Scotland,Haiti,62,USA
Yugoslavia,Cambodia,56,21,54,Hungary,Philippines,6,USA
Taiwan,Yugoslavia,41,1,69,Canada,Philippines,80,USA
Ireland,India,88,20,76,Cuba,Japan,59,USA
Vietnam,Guatemala,49,28,72,Cuba,Cuba,56,USA
Greece,Outlying-US(Guam-USVI-etc),64,1,71,Greece,Thailand,99,Italy
Greece,Ireland,34,1,67,Mexico,Scotland,48,South
Scotland,Jamaica,50,21,61,Ireland,Ecuador,47,Puerto-Rico
Honduras,Cuba,73,10,69,Vietnam,Ecuador,57,El-Salvador
Taiwan,Laos,52,2,72,Haiti,Nicaragua,64,France
Cambodia,Holand-Netherlands,68,21,67,Cambodia,Philippines,60,USA
Poland,Nicaragua,19,67,60,England,Thailand,42,Dominican-Republic
Guatemala,Ecuador,33,8,76,Iran,Hungary,100,USA
Honduras,Guatemala,32,47,65,Ireland,Canada,100,Vietnam
England,Jamaica,6,44,59,China,Trinadad&Tobago,17,USA
China,Guatemala,56,23,75,Scotland,Greece,33,Dominican-Republic
Ireland,Dominican-Republic,98,2,75,Dominican-Republic,Cambodia,66,USA
Jamaica,Vietnam,76,42,68,Holand-Netherlands,Canada,86,England
Jamaica,Holand-Netherlands,41,6,72,Cambodia,Hungary,26,Ecuador
Laos,Jamaica,21,36,79,Peru,Greece,100,Cambodia
Guatemala,Guatemala,43,19,64,Outlying-US(Guam-USVI-etc),Taiwan,8,USA
Ecuador,Guatemala,62,80,63,Greece,Hungary,47,USA
Portugal,Holand-Netherlands,37,6,66,Laos,Holand-Netherlands,49,Dominican-Republic
Yugoslavia,Hong,81,18,65,Germany,Hungary,82,Greece
Poland,Canada,36,79,73,Ireland,Ecuador,3,USA
Philippines,Jamaica,28,4,64,Mexico,Iran,1,USA
Honduras,Dominican-Republic,65,38,68,United-States,Dominican-Republic,41,Scotland
China,Columbia,64,22,66,Thailand,Nicaragua,74,USA
Portugal,Poland,33,1,66,Laos,South,66,Cambodia
Guatemala,Laos,48,47,70,Portugal,Philippines,54,USA
England,Poland,6,51,62,Philippines,France,18,USA
Portugal,Poland,18,18,74,Italy,Columbia,63,Greece
Taiwan,Scotland,38,13,68,Peru,Poland,76,USA
Peru,Japan,32,46,65,Germany,Poland,64,Hungary
England,France,84,1,59,England,Thailand,92,USA
England,South,60,61,66,Peru,Greece,4,USA
Holand-Netherlands,Puerto-Rico,22,24,78,Italy,India,67,Iran
Holand-Netherlands,Outlying-US(Guam-USVI-etc),23,23,69,Germany,Ecuador,21,USA
Ireland,Outlying-US(Guam-USVI-etc),32,1,67,Italy,Portugal,100,USA
Outlying-US(Guam-USVI-etc),Honduras,56,38,68,Cuba,Poland,49,Laos
Mexico,Peru,2,1,69,Philippines,Hungary,1,USA
Taiwan,Scotland,60,17,74,Peru,Poland,42,USA
Greece,Yugoslavia,42,60,62,Puerto-Rico,Trinadad&Tobago,12,Yugoslavia
Ireland,Laos,41,41,64,Cuba,Nicaragua,17,USA
South,Laos,72,2,84,France,Italy,88,USA
Ireland,Taiwan,39,15,66,Ireland,Portugal,15,USA
Ireland,Scotland,50,45,77,Honduras,Ireland,88,USA
Jamaica,Scotland,25,15,71,Nicaragua,Honduras,7,USA
Canada,Italy,46,20,63,Haiti,India,1,Outlying-US(Guam-USVI-etc)
China,Taiwan,27,3,64,Jamaica,Hungary,65,USA
Yugoslavia,Haiti,45,1,79,Philippines,Poland,35,USA
Laos,Japan,1,42,64,Guatemala,Yugoslavia,61,USA
Ireland,Honduras,47,21,63,Dominican-Republic,India,92,USA
Peru,Ecuador,49,20,73,Haiti,Scotland,29,USA
Holand-Netherlands,Italy,57,3,71,Guatemala,Hungary,66,Greece
Outlying-US(Guam-USVI-etc),Scotland,22,66,72,Holand-Netherlands,Cuba,87,USA
Jamaica,Japan,19,1,73,Vietnam,Dominican-Republic,24,Taiwan
Iran,Philippines,40,27,63,Honduras,Germany,54,USA
South,Guatemala,52,13,69,Puerto-Rico,Philippines,43,USA
Jamaica,Holand-Netherlands,19,1,68,China,Iran,22,USA
Taiwan,Ecuador,56,23,65,Laos,Canada,10,USA
Honduras,Hungary,76,54,72,Peru,Philippines,81,USA
Dominican-Republic,Yugoslavia,62,1,59,Iran,India,49,USA
England,India,1,60,81,Nicaragua,Philippines,73,Iran
Cuba,Scotland,61,76,72,Cambodia,Philippines,63,Jamaica
Ecuador,Guatemala,63,35,64,Greece,Hungary,13,USA
Guatemala,Outlying-US(Guam-USVI-etc),46,42,69,Canada,Dominican-Republic,77,Japan
Taiwan,Iran,60,20,59,Italy,Hong,66,USA
Ireland,Ireland,85,5,66,England,Ecuador,59,USA
Ecuador,Hungary,32,10,74,China,United-States,17,USA
Greece,Hungary,30,30,62,Hungary,Scotland,71,USA
Cuba,Poland,33,1,70,Greece,Canada,54,USA
Greece,Ireland,29,54,71,Ecuador,Hungary,67,USA
England,Dominican-Republic,1,61,61,Honduras,Japan,59,Greece
Guatemala,Yugoslavia,48,75,59,Portugal,Ecuador,77,USA
Greece,Germany,38,1,69,El-Salvador,Canada,35,USA
Outlying-US(Guam-USVI-etc),Cuba,20,48,66,Cuba,Canada,13,USA
England,India,51,68,65,Jamaica,Peru,75,USA
Greece,Jamaica,42,32,70,Germany,Cuba,68,Philippines
Jamaica,Guatemala,12,1,74,India,Thailand,33,Trinadad&Tobago
Jamaica,Poland,57,9,66,Canada,Scotland,1,England
Scotland,El-Salvador,88,48,66,Peru,Nicaragua,61,USA
Yugoslavia,Vietnam,85,49,64,Jamaica,Poland,80,USA
Yugoslavia,India,27,9,58,Iran,Germany,66,USA
Ireland,Ireland,73,38,61,England,Ecuador,28,USA
France,India,11,12,78,Ireland,Italy,7,England
Vietnam,Portugal,65,3,63,Hong,Iran,91,Philippines
Holand-Netherlands,Puerto-Rico,1,1,80,Iran,Thailand,10,El-Salvador
Guatemala,Puerto-Rico,45,27,70,Poland,Thailand,45,El-Salvador
Greece,Outlying-US(Guam-USVI-etc),13,22,69,Holand-Netherlands,Scotland,80,USA
England,Cambodia,47,11,73,Thailand,India,82,Thailand
Vietnam,Iran,50,12,64,England,Canada,66,USA
Guatemala,Hong,40,39,73,India,Thailand,4,USA
Philippines,Canada,48,29,81,Hong,Iran,11,USA
France,Scotland,63,1,76,Trinadad&Tobago,Philippines,27,USA
Yugoslavia,France,39,26,75,Ecuador,India,68,USA
Jamaica,Puerto-Rico,52,8,80,Taiwan,Portugal,71,USA
Guatemala,Hungary,52,5,70,Outlying-US(Guam-USVI-etc),Nicaragua,92,USA
Guatemala,Cuba,67,9,67,Philippines,Hungary,46,USA
Yugoslavia,France,25,21,79,Ecuador,India,70,USA
Cambodia,Poland,24,54,73,United-States,Greece,9,India
South,Mexico,35,34,68,Dominican-Republic,Iran,72,Canada
Vietnam,Taiwan,38,1,80,Cuba,Honduras,51,Ecuador
Ireland,Dominican-Republic,17,1,78,Mexico,Greece,56,USA
Vietnam,China,75,24,71,Greece,Poland,6,USA
Jamaica,Poland,50,14,70,Laos,India,11,China
Greece,Poland,53,72,63,Philippines,Taiwan,27,USA
Ecuador,Scotland,59,26,64,Germany,Cambodia,77,United-States
Ecuador,Scotland,54,100,78,Italy,Poland,91,Honduras
Honduras,Outlying-US(Guam-USVI-etc),23,27,73,Holand-Netherlands,Cambodia,84,USA
India,Trinadad&Tobago,74,10,61,Columbia,Dominican-Republic,19,Outlying-US(Guam-USVI-etc)
Dominican-Republic,Japan,45,3,68,Japan,Cuba,86,Laos
Honduras,Trinadad&Tobago,42,12,64,Canada,Trinadad&Tobago,31,England
Taiwan,Iran,26,1,73,Laos,Greece,54,Mexico
Canada,France,27,11,75,Thailand,Ecuador,69,USA
Dominican-Republic,Poland,19,27,70,Peru,Peru,65,USA
Poland,Iran,86,2,70,Dominican-Republic,Cambodia,20,Cambodia
Yugoslavia,Philippines,19,13,70,Germany,India,82,Japan
Ireland,Yugoslavia,69,1,76,Cuba,Honduras,66,USA
Italy,Canada,67,1,75,Taiwan,Cambodia,79,USA
Canada,Guatemala,36,7,75,Trinadad&Tobago,Dominican-Republic,20,USA
Scotland,South,77,42,76,Outlying-US(Guam-USVI-etc),Peru,6,Vietnam
South,Poland,58,43,66,Cuba,Dominican-Republic,97,USA
Holand-Netherlands,Greece,58,37,70,Puerto-Rico,Hong,1,USA
Honduras,India,12,1,71,South,Canada,62,USA
Dominican-Republic,Outlying-US(Guam-USVI-etc),73,9,77,Trinadad&Tobago,Ireland,37,USA
Canada,South,29,11,63,Peru,Trinadad&Tobago,57,USA
Scotland,Italy,43,18,72,Jamaica,France,66,Germany
Ireland,India,73,1,71,Cuba,Japan,82,USA
Taiwan,India,28,1,70,Haiti,Canada,18,USA
Haiti,South,47,20,74,Dominican-Republic,Germany,43,USA
Ecuador,India,46,1,70,England,Peru,30,Jamaica
Jamaica,Outlying-US(Guam-USVI-etc),23,13,72,Ecuador,Poland,91,Hungary
India,United-States,47,34,77,Nicaragua,Greece,32,USA
Taiwan,Japan,55,17,80,Trinadad&Tobago,Thailand,31,Philippines
Yugoslavia,Mexico,15,1,77,Laos,Canada,36,USA
Ireland,Haiti,48,18,66,Japan,India,58,Iran
Yugoslavia,Holand-Netherlands,40,1,69,Canada,Scotland,95,El-Salvador
Greece,Cambodia,63,7,67,Honduras,Honduras,1,USA
Vietnam,Scotland,52,19,73,Germany,Honduras,76,Italy
Thailand,Portugal,24,2,74,Canada,Holand-Netherlands,66,USA
Ireland,Trinadad&Tobago,37,30,78,Ireland,Holand-Netherlands,100,USA
Taiwan,Ecuador,37,52,63,Thailand,Scotland,98,USA
Cambodia,Hong,39,23,58,Iran,Trinadad&Tobago,100,Honduras
Mexico,Hungary,43,25,71,Ireland,Jamaica,79,Holand-Netherlands
Portugal,Laos,44,14,79,Guatemala,Trinadad&Tobago,70,USA
Germany,India,25,15,70,Peru,South,57,Honduras
El-Salvador,Cuba,22,1,70,Haiti,Philippines,100,France
Taiwan,Cuba,2,17,75,Cambodia,India,2,France
Portugal,Hungary,59,54,80,Iran,Germany,26,Peru
France,Cuba,30,5,73,England,Hungary,80,India
Ireland,Guatemala,7,67,68,Canada,Outlying-US(Guam-USVI-etc),70,USA
Scotland,Taiwan,24,1,80,Columbia,Nicaragua,5,Greece
